archivo,dept,mun,zona,stand,mesa,texto_p1,ocr_ok,numeros_detectados,potencial_mesa,total_sufragantes,votos_cepeda,votos_claudia,votos_botero,votos_espriella,votos_lizcano,votos_uribe_l,votos_sondra,votos_barreras,votos_caicedo,votos_matamoros,votos_paloma,votos_fajardo,votos_murillo,suma_candidatos_detectados,candidatos_detectados,hubo_recuento
001.pdf,60,001,01,01,001,"— OORE NENO NNTN - | 710093302010103 Ver: 01 Pag: 1 de 3 | E!' E E ACTA DE ESCRUTINIO DE LOS m I . N JURADOS DE VOTACIÓN - | — wº£%_ DELEGADOS M EE ELECCIÓN PRESIDENCIA Y ""A m DI VICEPRESIDENCIA DE LA REPUBLICA — . E E as V MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 001 LUGAR: IE INEM JOSE EUSTACIO RIVERA X 65-79-03-18 X l NIVELAC",True,78,,9330,2,,,1,,,7,,10,,,13,0,33,6,S
002.pdf,60,001,01,01,002,"- NANINIINMNNMDINDA — | 710093312010103 Ver: 01 Pag: 1 de 3 E — '¡E ACTA DE ESCRUTINIO DE LOS m — , _ JURADOS DE VOTACIÓN | m : ELECCIÓN PRESIDENCIA Y - »P - Eal e Be VICEPRESIDENCIA DE LA REPÚBLICA — [E] h MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 002 LUGAR: IE 1INEM JOSE EUSTACIO RIVERA X 4-00-58-14 X NIVELACIÓN DE LA MESA 1427 4",True,78,1427,4,2,3,,,,,,,,,12,13,4,34,5,S
003.pdf,60,001,01,01,003,"— | ' 710093322010103 Ver: 01 Pag: 1 de 3 | E"" uN E ACTA DE ESCRUTINIO DE LOS m — _j¡._—; - JURADOS DE VOTACIÓN . + ELECCIÓN PRESIDENCIA Y * EL VICEPRESIDENCIA DE LA REPUBLICA ' , [ MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 003 l LUGAR: IE INEM JOSE EUSTACIO RIVERA X 6-91-13-12 X NIVELACIÓN DE LA MESA EA A u n - CANDIDATO AGRUPAC",True,79,,4,7485,,4,,5,,,,10,,,13,,7517,5,S
004.pdf,60,001,01,01,004,"- EO ENO ENE DI n E"" .|.¡_l . E| ACTA DE ESCRUTINIO DE LOS m — 'º,p:.ú.'¿,'.. JURADS DE YOTACIÓN ""A DELEGADOS _. « E E ELECCIÓN PRESIDENCIA Y - , r = VICEPRESIDENCIA DE LA REPUBLICA a E_ "", MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 004 LUGAR: lE INEM JOSE EUSTACIO RIVERA X 4-37-01-18 X NIVELACIÓN DE LA MESA 118 CANDIDATO AGRUPACIÓN",True,82,118,1,0,5,,,2,,,,0,,,13,1,21,6,S
005.pdf,60,001,01,01,005,"— INO AMDANENED — | 710093342010103 Ver: 01 Pag: 1 de 3 E E E ACTA DE ESCRUTINIO DE LOS m : 'F'_-CE'.'J=' JURADOS DE VOTACIÓN ' ""1% . ELECCIÓN PRESIDENCIA Y _' = I¡_ VICEPRESIDENCIA DE LA REPUBLICA =—— , E_ “ EE del MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 005 LUGAR: IE INEM JOSE EUSTACIO RIVERA X 8-41-78-14 X NIVELACIÓN DE LA MES",True,76,,5,8,,1,,,,,9,0,,,,97,115,5,S
006.pdf,60,001,01,01,006,"- TEOOO VO - | 710093352010103 Ver: 01 Pag: 4 de 3 | [m] ; ke (m] - ACTADE ESCRUTINIO DE LOS m — JURADOS DE VOTACIÓN ""E _ "" ELECCIÓN PRESIDENCIA Y Ad VICEPRESIDENCIA DE LA REPÚBLICA [ E IT LEJA, MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO;: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 01 MESA: 006 | LUGAR: IE INEM JOSE EUSTACIO RIVERA X 6-92-04-18 X | | NIVELACIÓN DE LA MESA a. 3T CAND",True,74,,5,0,3,4,,,,,,10,,,13,,30,5,S
007.pdf,60,001,01,01,007,"- ENEOOO - 710093362010103 Ver: 01 Pag: 1 de 3 E E E ACTA DE ESCRUTINIO DE LOS m as ia ee - JURADOSDE VOTACIÓN I1_ , m —.-:E!¡ H — DELEGADOS - AE ELECCIÓN PRESIDENCIA Y -.'|.-I""L':¡n L VICEPRESIDENCIA DE LA REPÚBLICA — E e C MAYO 31 DE 2026 REGISTRADURÍA - DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 907 LUGAR: IE INEM JOSE EUSTACIO RIVERA | X 8-71-11-13 X | NIVEL",True,86,130,4,2,,4,,,,,97,,,,13,2,118,5,S
008.pdf,60,001,01,01,008,"- ENOO NP N 710093372010103 Ver: 01 Pag: 1 de 3 E' , E ACTA DE ESCRUTINIO DE LOS m E | '“""'=E"" JURADOS DE VOTACIÓN _ ¡H'¡:£i':'f ELECCIÓN PRESIDENCIA Y ' - -'-I""' -El E VICEPRESIDENCIA DE LA REPUBLICA — . | Eu EA MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 01 MESA: 008 LUGAR: IE INEM JOSE EUSTACIO RIVERA X 7-94-03-12 X | NIVELACIÓN DE LA ",True,87,,2,2,3,,,,,,,10,29,12,13,,69,6,S
009.pdf,60,001,01,01,009,"_ CENOOO DDOOO TNA - [ 710093382010103 Ver: 01 Pag: 1 de 3 | E . N E ACTA DE ESCRUTINIO DE LOS m | ! '£i""=_"""""" - JURADOS DE VOTACIÓN — E . — J ELECCIÓN PRESIDENCIA Y | J'I?"".""=n- VICEPRESIDENCIA DE LA REPÚBLICA — | E de y n MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 01 MESA: 009 | LUGAR: IE INEM JOSE EUSTACIO RIVERA | X 2-39-604-16 X |",True,75,,9338,2,3,,,,,,,,,,13,4,22,4,S
010.pdf,60,001,01,01,010,"- TEOOOO - 710093392010103 Ver: 01 Pag: 1 de 3 E|f. E ACTA DE ESCRUTINIO DE LOS m T TH JURADOS DE VOTACIÓN ea - DELEGADOS - r ELECCIÓN PRESIDENCIA Y S y- ' :""% ""Ls VICEPRESIDENCIA DE LA REPUBLICA —  . E ae : MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS , MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 010 LUGAR: IE INEM JOSE EUSTACIO RIVERA  X 7-90-43-12 X NIVELACIÓN DE LA MESA 2 1",True,82,,2,2,,5,,6,,,,10,,12,13,2,50,7,S
