acta_id,dept,mun,zona,stand,mesa,hash,status,path,ok
11_022_00_00_015,11,022,00,00,015,8e21b4b990575f500bfb40de68b7d32ce9566b7615b5829271bd88144e0fb14d.pdf,status11,training\pdfs_train\11\11_022_00_00_015.pdf,True
60_001_01_02_009,60,001,01,02,009,786b56988b5a8cceb9844f89107d5c7276f20e8f4352984f1fa478b0c24c8026.pdf,status11,training\pdfs_train\60\60_001_01_02_009.pdf,True
60_001_99_75_003,60,001,99,75,003,f222b425d66c3693efacfd8caaee1652d2850dbc3614ab07f49aef2df8dacfba.pdf,status11,training\pdfs_train\60\60_001_99_75_003.pdf,True
60_007_00_00_010,60,007,00,00,010,b8199b37d7380d6603e5987f8179d575923bda5c920d90e7f76863eb0af6edc0.pdf,status11,training\pdfs_train\60\60_007_00_00_010.pdf,True
23_001_99_17_002,23,001,99,17,002,c4a24a08cf22c35cfc2552a1e463847a8cc1991220fa8a46ec68e01b92c3c1fb.pdf,status11,training\pdfs_train\23\23_001_99_17_002.pdf,True
60_001_02_01_004,60,001,02,01,004,0577a2a8ab844b1cc05cda728b682c46a616896157de12cfacce120877e65576.pdf,status11,training\pdfs_train\60\60_001_02_01_004.pdf,True
17_017_99_20_004,17,017,99,20,004,a6224a9de027c62f086bcb290dc46cd7bc575423a8599de08afe1fdab80241a4.pdf,status11,training\pdfs_train\17\17_017_99_20_004.pdf,True
23_139_03_05_008,23,139,03,05,008,90f90940729f5b10a87a223a2513ea67b730626da2eab71e06985d34452636b1.pdf,status11,training\pdfs_train\23\23_139_03_05_008.pdf,True
60_001_01_01_015,60,001,01,01,015,f034223e69c4d3bf7326ec09c84aeccd297023a886a768b5c100c367666db784.pdf,status11,training\pdfs_train\60\60_001_01_01_015.pdf,True
23_139_03_03_005,23,139,03,03,005,8fef6e9aebb79af05cf65d9370f868ce76580c425a526da338155ddd8ab9e953.pdf,status11,training\pdfs_train\23\23_139_03_03_005.pdf,True
11_025_99_37_001,11,025,99,37,001,b2e5dc3fada1b1aa34fb499366d5cec39e93d552a9f719e5ab51dcb08d88f96f.pdf,status11,training\pdfs_train\11\11_025_99_37_001.pdf,True
17_048_99_10_002,17,048,99,10,002,c557d927f27801ab21bf2e83e14f942402c23b23698e5e7cc1b5665357305459.pdf,status11,training\pdfs_train\17\17_048_99_10_002.pdf,True
23_041_99_11_002,23,041,99,11,002,7478dae44e7fd6d220200c1fcd5db312d3c5a607fd813d6007a9a43b72579350.pdf,status11,training\pdfs_train\23\23_041_99_11_002.pdf,True
11_076_02_01_015,11,076,02,01,015,ac45a5c3f1bbf44dd01f5477cd6fdfb71d0a8ab72a47d6e8bcbb35c91b9b043a.pdf,status11,training\pdfs_train\11\11_076_02_01_015.pdf,True
17_043_99_03_001,17,043,99,03,001,4473d148952dc87f72791236d6185783ae5b011581f4eabb7e79345a4ab2a352.pdf,status11,training\pdfs_train\17\17_043_99_03_001.pdf,True
17_001_03_01_012,17,001,03,01,012,a59a0d9929a6758d7ad131cac2780df0080406c0a2488c39a95531de368da4d9.pdf,status11,training\pdfs_train\17\17_001_03_01_012.pdf,True
11_091_99_70_005,11,091,99,70,005,ae5f8f8cca77bd7ebdebe988753cb4759ce9d947a2c8427a5e2e2c087ad80ac5.pdf,status11,training\pdfs_train\11\11_091_99_70_005.pdf,True
23_001_03_02_010,23,001,03,02,010,99e3d75a6c56b76657876f3ff2df5e00cca2bf546325ea004b5e06011c971052.pdf,status11,training\pdfs_train\23\23_001_03_02_010.pdf,True
60_001_01_03_002,60,001,01,03,002,e05928d5c4bea5127555be60fe8d07a4384f87b39e9e07333b51979604e05066.pdf,status11,training\pdfs_train\60\60_001_01_03_002.pdf,True
60_001_02_01_015,60,001,02,01,015,fcb814cfa87d59f4c3e5f8263feae2723cac352a83a8cae8a39c7831922c477c.pdf,status11,training\pdfs_train\60\60_001_02_01_015.pdf,True
11_061_00_02_007,11,061,00,02,007,dfd4b5927a2e7a44fd3cc52de4a40c9ccc2c04486a211e0eb8bb051dd10f2833.pdf,status11,training\pdfs_train\11\11_061_00_02_007.pdf,True
17_010_00_00_001,17,010,00,00,001,4830a879a990910004ac66fa437d609ac06138fa36cf6718dcc3083a8acd9fe5.pdf,status11,training\pdfs_train\17\17_010_00_00_001.pdf,True
11_086_00_00_003,11,086,00,00,003,4f32f6a7e29fab183c0bb7761e201c0e96fdf10c41cdb78463b262dd9098f8cd.pdf,status11,training\pdfs_train\11\11_086_00_00_003.pdf,True
17_019_98_01_001,17,019,98,01,001,47cb40592be16b06651321753f29237011fcb4196a3913f9d8020b219097814a.pdf,status11,training\pdfs_train\17\17_019_98_01_001.pdf,True
11_025_99_10_001,11,025,99,10,001,e63938a3af5ce605f82f4019b2b9e07da16736cf225a896ed5f868bd11f5cdf6.pdf,status11,training\pdfs_train\11\11_025_99_10_001.pdf,True
23_133_99_17_002,23,133,99,17,002,588ffe5a1f14a50f98f92592feee4c71eecddf2f00e131d4a8731f66e2a61fd4.pdf,status11,training\pdfs_train\23\23_133_99_17_002.pdf,True
60_001_01_01_017,60,001,01,01,017,3bcbeb31e6162dada7e06f6cc2a8a3f8705444315c761f319754a4de43134d44.pdf,status11,training\pdfs_train\60\60_001_01_01_017.pdf,True
17_031_00_00_006,17,031,00,00,006,cf4151f73e6e74cf56d3bf04aa718fee637dfa99930b94d5cb527e4518fb1605.pdf,status11,training\pdfs_train\17\17_031_00_00_006.pdf,True
17_010_00_00_007,17,010,00,00,007,674c6a80876baf9d4b17d1b34626a43e2aa0e7d423b6fc68c655fc2aef3766db.pdf,status11,training\pdfs_train\17\17_010_00_00_007.pdf,True
11_088_02_01_010,11,088,02,01,010,d5af79b0338221d68754977264dac7c367232006d658125761b996284a88d576.pdf,status11,training\pdfs_train\11\11_088_02_01_010.pdf,True
60_001_01_02_012,60,001,01,02,012,3e28677159018a8dbe6770c0ab41a80617571346bf53b8adec3ebea4127e5721.pdf,status11,training\pdfs_train\60\60_001_01_02_012.pdf,True
23_001_99_24_004,23,001,99,24,004,ff5a607f62ce57a30ec79eacd3ef7525b153730d0d566f051ba804420f14162a.pdf,status11,training\pdfs_train\23\23_001_99_24_004.pdf,True
60_001_02_02_025,60,001,02,02,025,d353edbf12c74ce5084e703ef4e30e3d562d38bed8b0d9510cd634f745538b27.pdf,status11,training\pdfs_train\60\60_001_02_02_025.pdf,True
23_067_01_07_004,23,067,01,07,004,9da086d894e61ff9685980c93b64c2df9cd1a831c6f9ebf8139a87361249995f.pdf,status11,training\pdfs_train\23\23_067_01_07_004.pdf,True
17_034_00_00_023,17,034,00,00,023,453362854f20ad599def52721c528e13551a6664e7931d6eb5c6f83a40c81612.pdf,status11,training\pdfs_train\17\17_034_00_00_023.pdf,True
23_088_99_07_001,23,088,99,07,001,c3dafcb2b769782db91124fb7de28b919d8a968c83ac967ad9b019c9d9887514.pdf,status3,training\pdfs_train\23\23_088_99_07_001.pdf,True
60_001_02_02_012,60,001,02,02,012,f3c7d3e7c19a4d185e16462a8bfd9a953825b04116f28be2997a6d935f60facc.pdf,status11,training\pdfs_train\60\60_001_02_02_012.pdf,True
23_001_99_32_001,23,001,99,32,001,521f07f7ff61af67ade3c691b04376364d1d745a3d6a326d71bf57bc5f4c4566.pdf,status11,training\pdfs_train\23\23_001_99_32_001.pdf,True
11_029_99_20_001,11,029,99,20,001,85a267e7ca40d9fed3f183d1971cb5ee836005c7de0ac0f1a7868963ef553c8b.pdf,status11,training\pdfs_train\11\11_029_99_20_001.pdf,True
17_006_99_86_001,17,006,99,86,001,2d43a31e5789595d57d9e607d99aca0546054f86090a3603fe5ed0a8b0eaca13.pdf,status11,training\pdfs_train\17\17_006_99_86_001.pdf,True
23_142_02_01_013,23,142,02,01,013,9e218d660626e6fd409f4af761a17c8f68cae82aa0cabd7805664f0fe5692be6.pdf,status11,training\pdfs_train\23\23_142_02_01_013.pdf,True
